time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2022-02-15,-56.91684771608932,158.28108748268033,101.364239766591,90.93249042144842,27.100865112199678,0.2878219742063492,68.17623240970772,55.800000000000004,173.52044253275542,92.22551194529838,66.12318327967101,285.5851308882602,399.7815491924803,418.38573608427333,11.691308378453295,12.0,119.349525,13.202581,413.174,252.6433,32.649994,4.234871,10,2.0,0.5721052,1.3228496,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,44.89672,0.35631225,456.29413,0.7605531,201.0285,0.59357953,312.99213,0.72960055,26.144176,1.092073,28.415123,1.028741,0.2995807,21.312538,146.189138,-19.887285
2022-03-15,-28.125990179900086,84.71409089743702,56.588100717536925,46.025907602510046,27.985450057346547,0.15589218189964157,57.99508113156421,1.7999999999999998,137.56422519641495,42.1629207338406,83.5372068228999,265.4405101667921,392.1161991462219,415.04859946934573,16.273332508918443,12.0,119.349525,13.202581,413.39,252.6433,39.564056,10.665693,10,3.0,0.42587468,0.93640286,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,5.5383115,0.08692505,416.3527,0.6852964,128.72691,0.39596653,316.4645,0.6512958,25.150541,1.124397,28.898363,1.0935439,0.2995807,27.662798,146.189138,-19.887285
2022-04-15,13.913845940422997,57.37580510794024,71.28965104836324,38.66532118637548,24.936365847787098,0.21251814814814815,69.15493969682795,109.2,107.63507155725917,36.60078397488074,63.09255010572587,204.57057071005326,392.57981564869795,417.6418874012101,9.937611657865405,12.0,119.349525,13.202581,413.538,252.6433,35.299103,9.281418,10,4.0,0.3794173,0.8955775,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,111.05249,2.8407116,456.33218,0.7521597,161.48752,0.705769,407.7778,0.81372815,18.913502,0.984099,26.017685,1.073247,0.2995807,17.892433,146.189138,-19.887285
2022-05-15,5.666812207328624,116.14245028300388,121.8092624903325,55.90585414694321,21.472198501682108,0.333737724014337,75.768989316408,147.8,90.79001887674586,51.21363640044052,35.683767572809224,170.53589324778227,374.44601350706847,426.8475401742908,6.301936615025304,12.0,119.349525,13.202581,413.771,252.6433,26.327026,3.9634,10,5.0,0.5829188,1.4346585,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,185.65804,7.3344436,640.4919,1.0588549,302.24884,2.359107,503.27734,1.0781629,15.028555,0.91603357,22.363626,1.0500553,0.2995807,10.566407,146.189138,-19.887285
2022-06-15,-32.83910761435044,95.21706940159211,62.37796178724168,32.199135335110654,17.71547702950483,0.18837233796296296,67.04926514411174,0.4,85.14107721442153,30.47986051629147,51.942370673188776,188.8947462481997,335.3533629819166,423.3144271127882,6.754844490972226,12.0,119.349525,13.202581,414.129,252.6433,23.892212,5.5031967,10,6.0,0.54708284,1.4206882,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,0.28559765,0.014939193,630.415,1.0412894,296.9961,3.55583,425.72302,1.0418577,15.723629,1.0224942,18.389015,1.000145,0.2995807,11.277855,146.189138,-19.887285
2022-07-15,20.15233970735904,32.26855809396517,52.4208978013242,13.461787592599181,14.562419927652106,0.37536751106625665,76.7654196679577,106.6,74.7800809752641,31.912890857199375,36.06215603759045,158.45665083304348,329.27895103072,449.26064870861006,3.8820046168291453,12.0,119.349525,13.202581,414.588,252.6433,22.381592,5.998499,10,7.0,0.4889885,1.3970451,41.297867,45.99314,1.8005875,0.10270269,0.35917932,0.34124,91.9625,5.1541715,717.9259,1.181866,277.90613,4.4627166,439.39365,1.50951,15.498196,0.9584958,16.383093,0.92251456,0.2995807,9.520262,146.189138,-19.887285
