time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2010-02-15,-95.71995972154858,285.88667200230645,190.16671228075793,84.04051829990003,17.933439954543186,0.159280719129711,71.39235747784218,26.036976130166103,161.50365388003252,85.23553889741845,61.38182983212953,266.11171223015674,338.70721097650596,383.60605716496804,5.947051501526124,23.0,316.60498,4.477071,384.816,644.38367,25.94989,6.7668896,10,2.0,0.6277552,1.0432271,23.412045,70.03872,14.012408,51.65566,59.02224,1.341693,896.8906,0.9729398,137.44714,0.8414081,442.9051,1.0681417,21.207935,0.95372754,19.183,1.100487,11.306808,144.094046,-37.422506
2010-03-15,-71.6072240946144,251.9831006804779,180.37587658586352,66.7124799995882,15.554461066855772,0.18024284901833457,73.39261885114271,118.13634894726702,113.24352405496087,61.11325452769922,34.19812881496102,203.22156588633246,330.4721324479777,379.1110945990035,4.74330209325676,23.0,316.60498,4.477071,384.719,644.38367,20.960144,4.7812557,10,3.0,0.68598837,1.1364844,23.412045,70.03872,14.012408,51.65566,99.09366,2.2512703,941.6384,1.0204169,189.29944,1.3305148,421.28687,1.1590929,16.60106,0.96339124,16.178888,1.0658995,7.832314,144.094046,-37.422506
2010-04-15,-36.67386019363555,185.59177127800666,148.91791108437116,50.29327827529567,12.695607602083333,0.19073297339156411,81.97652005737427,68.4,66.46882569239808,47.607865577262906,10.572950541138733,128.37959132849312,331.9760695138889,381.6843550719861,2.6622159521307105,23.0,316.60498,4.477071,385.017,644.38367,16.160858,2.9783955,10,4.0,0.77118075,1.1896863,23.412045,70.03872,14.012408,51.65566,64.38988,1.1074997,955.0017,1.034046,222.50578,1.5224742,439.69867,1.2963331,10.944972,0.91041386,13.182463,1.1251886,4.772096,144.094046,-37.422506
2010-05-15,-43.26201401234002,159.74893512185585,116.48692110951583,36.621314647299315,9.154736759365624,0.22412349656650332,87.10306651365049,61.400000000000006,55.65356351354306,33.54766189464367,7.429411459025946,106.72437659927735,318.91130361377117,379.61658437497977,1.5011988299534869,23.0,316.60498,4.477071,385.399,644.38367,10.722687,1.8986988,10,5.0,0.7804392,1.1259809,23.412045,70.03872,14.012408,51.65566,64.28703,0.78854233,980.1181,1.0625523,227.77057,1.2400194,365.2177,1.0523889,8.0600815,1.0082743,8.823988,1.0059873,2.512875,144.094046,-37.422506
2010-06-15,-39.70198736980122,123.21394692762895,83.51195955782774,21.408939755044422,6.26721923093458,0.2520560332383269,91.14741099576608,50.60000000000001,37.929452644621236,20.265808095284335,-2.0566891577818547,70.685132121924,319.2981694967756,379.0102339511719,0.8447264888699316,23.0,316.60498,4.477071,385.903,644.38367,6.6648865,0.8131051,10,6.0,0.79403573,1.1379412,23.412045,70.03872,14.012408,51.65566,111.776306,1.0802432,1014.93567,1.1004294,240.45322,0.98895144,429.75266,1.1150391,6.3103423,0.9992649,5.8517814,0.9163493,1.288961,144.094046,-37.422506
2010-07-15,-40.50169581014138,126.90747282654488,86.40577701640348,27.514600429217037,5.916349563952563,0.27781965984150203,93.323861854408,106.6,43.65825510077753,25.20528062019374,3.1041173301903755,70.96754645373548,322.2652820132694,383.67711527405527,0.6216731424735881,23.0,316.60498,4.477071,386.569,644.38367,7.552429,1.8500471,10,7.0,0.78362983,1.1085492,23.412045,70.03872,14.012408,51.65566,93.265656,0.8862964,986.0762,1.0703623,269.32898,0.9279831,491.83478,1.1270844,6.8641386,1.0142181,5.702382,1.0196068,1.3345426,144.094046,-37.422506
2010-08-15,-69.08901919156627,147.87571699532768,78.78669780376141,34.80566472133732,5.047075066231205,0.3099890077060392,93.68801916968029,196.3999998,59.998476275112566,31.88440074681648,8.830732871750886,85.75372804108196,320.9642818576899,380.3460372073017,0.5530997067849593,23.0,316.60498,4.477071,387.212,644.38367,6.5239563,1.0817018,10,8.0,0.75664914,1.0799817,23.412045,70.03872,14.012408,51.65566,221.20682,1.9894888,1096.9244,1.1946142,426.24878,1.3324779,654.01935,1.2987529,8.846142,0.9036047,5.4422545,0.8397408,1.3225651,144.094046,-37.422506
2010-09-15,-106.38291361517145,193.7901601314868,87.40724651631535,45.74355190650043,6.5373007210416665,0.3008927070293782,90.59253392446634,119.19999990000001,100.09254365264904,43.3010721287768,31.14687636565413,135.55263345549756,324.9649373052938,379.4882856712801,0.9146745851439222,23.0,316.60498,4.477071,387.56,644.38367,9.002747,1.809186,10,9.0,0.7811206,1.121909,23.412045,70.03872,14.012408,51.65566,136.27669,1.4169819,1112.4893,1.2102872,450.74915,1.4419706,691.20233,1.243769,12.380273,0.92507344,7.1935606,0.8858964,2.0848227,144.094046,-37.422506
2010-10-15,-97.73114145861845,235.66537955682776,137.93423809820933,81.71490241090339,10.340289455679438,0.2978408032023878,80.38877320971562,126.86281065260758,160.8438299919895,74.85651305084846,49.7480357769042,218.83271852751156,330.74130025669473,380.94592935964073,2.473902032604156,23.0,316.60498,4.477071,387.557,644.38367,16.568481,6.1679745,10,10.0,0.7758169,1.1046029,23.412045,70.03872,14.012408,51.65566,130.23586,1.6144722,1196.7471,1.3044326,487.71936,1.693297,757.04834,1.3091837,18.261112,0.99829936,10.400507,1.0091374,3.8830423,144.094046,-37.422506
2010-11-15,-95.7971825895108,255.981839870972,160.18465728146123,85.65049691756279,12.766121786034772,0.28833803545287556,79.0340110024569,150.8833148018203,188.5699523548113,81.07718334758181,57.847213611444786,244.7704422828306,347.52621032350817,382.8963991786878,3.111387836549919,23.0,316.60498,4.477071,387.407,644.38367,19.95514,6.935545,10,11.0,0.76897234,1.12177,23.412045,70.03872,14.012408,51.65566,156.51569,2.1652305,1214.4946,1.325786,423.02823,1.6980386,849.277,1.4925271,21.37588,0.954346,13.019594,0.9916962,5.396982,144.094046,-37.422506
