time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2011-12-15,43.189453015803466,314.12657262371073,357.3160256395142,131.1992284774418,26.38207716498656,0.21954706170730579,79.03639166216514,599.6,94.43134143164598,120.18758474919773,-0.4847829625829312,177.30386284274192,440.3571224559277,383.17399385788866,7.374547538094933,25.0,,2.671231,388.942,386.6437,24.822266,-1.1213093,10,12.0,0.76031727,1.0327388,9.099528,87.82036,24.58673,0.5156112,-0.11089182,0.3876691,374.26175,1.2785329,3996.0781,1.2124233,707.5426,1.2763058,852.8513,1.07892,20.717434,0.92951745,25.943575,1.0050701,0.72322273,9.214516,145.446922,-16.103219
2012-01-15,-27.71144616886225,358.2755903022071,330.5641441333448,147.30816950473104,25.954773512768814,0.2564357026758513,77.69161022115985,486.4000000000001,115.99194141895167,134.94449100089906,13.14673674332782,207.4854196370968,433.10706114047565,379.0759132911291,7.647040010805905,25.0,,2.7491302,388.819,386.6437,26.43811,0.915926,10,1.0,0.7788745,1.0578732,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,392.95477,0.8269676,3754.8435,1.1454976,882.7629,0.92748034,1196.8801,1.0137444,19.85124,1.0077764,25.522184,0.98856074,0.74898773,8.642866,145.446922,-16.103219
2012-02-15,35.92205682612864,293.9728882839162,329.8949451100448,138.3174160310739,26.470878018318963,0.2487129924389368,78.67250818967239,567.2,112.3450968030952,135.44684385929236,7.887538276619737,181.31898326867815,439.0462217878081,377.9038114980035,7.542960490416134,25.0,,2.7491302,388.79,386.6437,27.65979,1.8926373,10,2.0,0.77202386,1.0486053,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,443.51816,0.7763999,3017.0032,0.9220156,1210.7347,0.90127873,1582.7675,0.9477693,19.843573,1.0106789,25.767153,1.0083079,0.74898773,7.980629,145.446922,-16.103219
2012-03-15,29.83605975822138,244.99376816357713,274.8298279217985,146.3443833789524,25.716484705645158,0.32743750350022405,81.23232618411215,1373.0,104.07840450517126,134.06159612402837,-14.303267636487591,143.7580047513441,438.5159668964248,380.8076705130738,6.340904413740093,25.0,,2.7491302,388.826,386.6437,26.148163,1.4851971,10,3.0,0.7996591,1.0682946,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,1172.7025,1.7069173,3323.915,1.0063323,2009.1754,1.1590585,2716.718,1.1832242,15.982954,0.900321,24.662966,1.0004976,0.74898773,5.527547,145.446922,-16.103219
2012-04-15,17.307095333887503,229.1169828614139,246.4240781953014,134.47453785183978,24.601279620833335,0.2562588244120974,75.4173954880632,389.4,104.66505383785817,127.29426160234343,-17.4955989428744,150.02951701388892,423.8507154935869,377.038124534356,7.759319649248878,25.0,,2.7491302,389.0,386.6437,23.92456,0.70459557,10,4.0,0.81459755,1.1339834,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,389.771,0.8703686,3387.012,1.0237473,2005.9917,1.1757747,2888.7544,1.0868609,17.686441,1.0777833,23.219965,0.9894136,0.74898773,8.269923,145.446922,-16.103219
2012-05-15,-1.097873703062926,161.38923886715335,160.29136516409042,109.26328793648807,22.734964099462363,0.25630822325268815,77.46545543010753,249.8,68.10329475256889,100.09274316045666,-30.07898609934196,100.51071713709676,421.7735991935485,374.87069181364285,6.3401853142267495,25.0,,2.7491302,389.287,386.6437,20.76889,-0.79424477,10,5.0,0.7886038,1.0238717,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,292.54175,1.4104772,3615.3555,1.0937282,1855.0153,1.3820102,3065.75,1.1415467,13.478092,0.9226085,21.563135,0.9872369,0.74898773,6.8963284,145.446922,-16.103219
2012-06-15,-54.644583555827694,169.21534565479607,114.57076209896837,75.56669047544219,20.9534165625,0.21455411212182415,75.14575159722222,47.4,71.90852383221736,71.53180237289544,-2.6235962489980107,123.44137810416667,396.1834422222222,379.3728547573471,6.257314566652956,25.0,,2.7491302,389.712,386.6437,19.64856,0.29345512,10,6.0,0.8179818,1.079436,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,47.31273,0.40510336,3591.6523,1.0861785,729.6255,0.9450851,2738.8008,1.0931262,15.028428,1.0732747,19.355104,0.96051055,0.74898773,7.16226,145.446922,-16.103219
2012-07-15,-46.12542921112775,149.00229915145673,102.87686994032896,77.23448009718017,20.483619784946235,0.23948346009744625,76.55109429435484,191.8,60.64303343142742,70.75213574015878,-14.087367517457299,97.78054781586022,402.95313407258067,378.4683012018749,5.731714240756207,25.0,,2.7491302,390.378,386.6437,19.295593,-0.3218155,10,7.0,0.7139065,0.95507765,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,123.76885,1.3009013,3666.495,1.1090113,463.62335,1.1056056,2469.615,1.1619308,13.351776,0.9469623,19.617409,1.0091375,0.74898773,6.8871117,145.446922,-16.103219
2012-08-15,-33.432435451060485,214.9476011994363,181.5151657483758,93.89013164415238,21.12924129704301,0.18910294092181895,72.3132102889785,82.2,101.135218633125,86.00986671225068,4.466616936185012,165.23333665994622,391.7720824596774,378.20534606683503,7.047732583424887,25.0,,2.7491302,391.05,386.6437,20.716888,0.9427891,10,8.0,0.7712466,1.0218152,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,59.064747,0.7071685,3667.929,1.108904,230.14632,0.7789543,2085.1616,1.2732148,17.285738,1.0348697,19.7741,0.9833437,0.74898773,9.586989,145.446922,-16.103219
2012-09-15,-48.55789350799045,275.3714823751544,226.81358886716393,100.09772436285826,22.495644590277777,0.17782987304398148,74.26275595833334,71.80000000000001,138.32596510138612,94.75300019163157,22.022647171707533,201.0026905972222,404.6077875,378.42680819960356,7.134530271277513,25.0,,2.7491302,391.479,386.6437,23.245728,1.0397854,10,9.0,0.77304304,1.0526564,9.536753,87.49899,24.58673,0.82630354,0.10150844,0.14950383,40.384636,0.70312154,3669.5615,1.1105917,223.21823,0.9454397,952.84375,0.9451683,20.22767,1.0024619,22.205942,1.0106071,0.74898773,11.414208,145.446922,-16.103219
