time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2015-08-15,5.848387531232387,116.17875185588808,122.02713938712046,63.23706978362942,25.119070914038314,0.08705623972782257,47.770837701132564,0.4,113.53430511626343,57.92953794097713,60.99912998434151,244.37660451828748,339.6439163176137,401.34015997735844,17.01586726252251,16.0,284.8218,7.503814,398.333,218.58209,33.532776,9.325968,10,8.0,0.45997518,1.0498201,44.664764,48.077312,7.4420214,0.24262337,0.23006791,0.35892758,0.044782206,0.015588545,1522.2389,0.8699624,3.52066,0.47353637,180.51984,0.43883073,22.39948,1.0171233,24.206808,1.0010637,0.4110045,23.31401,130.7945459,-13.17904178
2015-09-15,10.387925301241879,102.10783332712057,112.49575862836244,60.35442113575712,26.670567781872045,0.08036317205137804,54.340718404246736,0.8,122.81933742762558,57.13179309363182,72.49431181654894,270.95460000109534,350.1172194086319,397.1070807378735,16.34450291786507,16.0,284.8218,7.503814,398.528,218.58209,38.052307,11.397837,10,9.0,0.44765317,1.0808777,44.664764,48.077312,7.4420214,0.24262337,0.23006791,0.35892758,2.943365,0.19563396,1525.0475,0.8728888,4.3919516,0.20290945,45.38733,0.31993142,24.73215,1.0470377,26.65447,0.9802031,0.4110045,27.857481,130.7945459,-13.17904178
2015-10-15,17.151958026313235,94.75483218270422,111.90679020901744,65.71711050020272,28.28121906103634,0.07602825497617995,68.41068559307895,17.0,118.62767869747917,60.20142709203158,83.12475714456679,245.94037709013998,372.73328574666004,391.6453249625923,12.456564147391797,16.0,284.8218,7.503814,398.573,218.58209,39.62262,10.731993,10,10.0,0.45034978,1.0119462,44.664764,48.077312,7.4420214,0.24262337,0.23006791,0.35892758,28.406775,0.4366015,1534.5792,0.8782904,31.394922,0.37833676,36.83641,0.3523948,25.274689,1.0481983,28.890627,0.99715096,0.4110045,27.926857,130.7945459,-13.17904178
2015-11-15,25.436512558595354,93.80506510502613,119.2415776636215,94.18451629435117,27.628332645833336,0.10444355982638888,74.62376117034503,197.2,147.44151813327778,89.15552823295525,47.66673139605733,227.3676312652917,379.1005463888889,405.00643051059274,9.622953681312765,16.0,284.8218,7.503814,398.7,218.58209,36.806824,6.8714924,10,11.0,0.51172215,0.99854046,44.664764,48.077312,7.4420214,0.24262337,0.23006791,0.35892758,93.62193,0.5949527,1500.802,0.8597318,124.97208,0.52626693,128.49274,0.5246662,24.077103,1.0386931,29.935331,1.031769,0.4110045,24.17535,130.7945459,-13.17904178
2015-12-15,-4.2082849296949645,148.2921014477891,144.08381651809412,106.27580767751407,26.10035295026882,0.16637796944892472,84.32917647278808,714.999998,129.3736043800944,97.35600422548852,23.835678152588855,184.48074348088,385.8080301075268,402.2623140251609,5.41940228627892,16.0,284.8218,7.503814,398.733,218.58209,36.098236,8.212616,10,12.0,0.62015694,1.0575664,44.664764,48.077312,7.4420214,0.24262337,0.23006791,0.35892758,704.9008,2.396108,1900.8718,1.089474,826.9295,1.6006861,831.3215,1.5444772,20.044493,0.91327685,27.88562,0.98644304,0.4110045,11.253929,130.7945459,-13.17904178
2016-01-15,-41.120145823237635,185.67987138305384,144.5597255598162,111.48179081152614,27.23568983870967,0.15478192886424733,82.50827972274466,283.399999,160.89850010270766,102.12504552537357,31.015388636965675,230.80973635532865,383.28482331989244,397.0520530590687,6.4784075922848405,16.0,284.8218,6.0853047,398.848,218.58209,30.792084,2.0695477,10,1.0,0.639509,1.032347,41.392933,52.199787,7.4420214,0.29070032,0.28742075,0.27693552,183.70557,0.44660136,1439.5251,0.8248778,982.22833,1.1350505,1013.6232,1.065522,21.958803,1.0845743,28.722536,1.0422646,0.43564373,13.712091,130.7945459,-13.17904178
2016-02-15,-35.46732670163955,175.56592659675417,140.0985998951146,119.87423270600294,27.4693033045977,0.1532604884949713,80.31956545300123,230.00000000000003,149.19422485238127,117.3864213631261,26.77335096744771,219.16123349953645,384.66622895114944,401.8100492342388,7.392127196265824,16.0,284.8218,6.0853047,399.135,218.58209,32.490692,3.8765526,10,2.0,0.65193534,1.0193019,41.392933,52.199787,7.4420214,0.29070032,0.28742075,0.27693552,258.46234,0.66204584,1452.5605,0.8340191,1147.0687,1.0458051,1272.0408,0.95041203,21.368986,1.0681356,28.61414,1.0490541,0.43564373,13.765404,130.7945459,-13.17904178
2016-03-15,-27.75120889725871,183.00497103697356,155.25376213971487,120.29274132441907,27.706402318977442,0.14363018733601263,81.3335577998364,156.2,151.65202247845104,110.19648675089407,26.40056551074769,217.86601519405303,385.34339510544834,401.8526747007589,7.111752088305721,16.0,284.8218,6.0853047,399.386,218.58209,32.348297,3.3150997,10,3.0,0.66649413,1.0534406,41.392933,52.199787,7.4420214,0.29070032,0.28742075,0.27693552,178.68802,0.6279781,1493.1729,0.85362196,620.85596,0.5715401,1447.7854,0.9019001,21.089413,1.0179671,29.033197,1.0585499,0.43564373,13.478849,130.7945459,-13.17904178
2016-04-15,-33.78102517545413,160.3664849619007,126.58545978644656,122.1531499857418,27.925461680555554,0.08813396078125,67.55851845902667,39.8,157.02378835685553,115.63077500193519,25.633695594653403,238.81282967610557,370.2085746527777,401.07637949862726,12.523253330742433,16.0,284.8218,6.0853047,399.734,218.58209,32.66815,4.2676945,10,4.0,0.63258916,1.0609868,41.392933,52.199787,7.4420214,0.29070032,0.28742075,0.27693552,24.46408,0.23891275,1480.6792,0.8463405,461.61444,0.59383696,1443.8428,0.87894326,22.954336,1.0565307,28.400457,1.0516179,0.43564373,22.112844,130.7945459,-13.17904178
2016-05-15,4.992239863342272,127.97338339050896,132.96562325385122,99.13153543238597,26.902749574807686,0.10260613321802056,71.11841187650606,66.80000000000001,130.3685914121281,90.81135578588047,32.01093245226877,201.57812252310333,371.79525437559704,402.9990782429431,10.484512528627395,16.0,284.8218,6.0853047,400.24,218.58209,32.11505,4.641365,10,5.0,0.60387105,1.112792,41.392933,52.199787,7.4420214,0.29070032,0.28742075,0.27693552,75.36259,4.436183,1554.0762,0.8879007,278.51468,0.68951094,1425.5834,0.94990814,19.028603,0.9437006,27.473686,1.089769,0.43564373,19.07557,130.7945459,-13.17904178
