time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,soil_moisture_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2002-01-15,-85.08452826534865,225.19207469814864,140.1075464328,131.94705835482605,28.256686367355993,0.12056681108568451,80.14864307572678,198.157058,216.0361492113939,120.87264873782901,21.387839586736433,283.730548377574,427.08747188963395,369.98687079134874,7.8164881955512495,16.0,101.64798,5.933541,369.482,29.07707,305.23553,2.5313625,10.0,1.0,0.6932948,1.0646238,41.518696,51.970417,,6.4932666,28.22241,165.70016,0.39257452,1406.9354,0.8260858,507.4045,0.60394585,614.9247,0.66522676,21.548227,1.0768996,29.554178,1.0354284,13.3867855,131.15005,-12.4952
2002-02-15,-70.0278284422125,207.2913151186125,137.2634866764,115.48685488056259,27.340178227200028,0.1481037462199159,83.98540629288757,565.511442,181.06563895118043,117.12902907363939,13.633265040655292,234.80140902517152,426.1600759789585,378.87160278172047,5.968713677940223,16.0,101.64798,5.933541,369.545,29.07707,297.7711,-3.4488583,10.0,2.0,0.7280726,1.069197,41.518696,51.970417,,6.4932666,28.22241,554.12946,1.5583856,1564.4131,0.9170173,894.75195,0.8503824,1168.602,0.9139786,18.900572,0.936321,28.069952,0.9902124,8.162815,131.15005,-12.4952
2002-03-15,-72.79873727887068,215.6101853268707,142.81144804800002,156.80384092610035,28.082695003889746,0.12597437163978495,73.6175452134109,154.72105200000001,243.10507426813794,143.64318402638884,37.21653293328709,324.89216300455,414.5879284132037,368.8380764420739,10.280609527068318,16.0,101.64798,5.933541,369.6,29.07707,304.18246,2.2564201,10.0,3.0,0.71697336,1.0284997,41.518696,51.970417,,6.4932666,28.22241,193.0518,0.65352476,1458.3552,0.85710686,912.8814,0.8537983,1352.8696,0.8676711,22.345457,1.0807945,28.77605,1.0099925,15.574054,131.15005,-12.4952
2002-04-15,-26.491301363670253,151.6704847500999,125.17918338642963,124.02092044821188,27.665064583333333,0.09390524305555555,72.2343934826697,56.371236,172.76698866619108,117.39881574526723,44.83800017409648,255.53497714089542,411.04865515733593,361.1238955072931,10.552257987559766,16.0,101.64798,5.933541,369.764,29.07707,305.04025,3.3028717,10.0,4.0,0.6623168,1.0237019,41.518696,51.970417,,6.4932666,28.22241,72.95672,0.6758519,1453.2621,0.8530123,820.138,1.0768006,1327.5424,0.82878554,22.20831,1.033384,28.587387,1.0136127,18.58329,131.15005,-12.4952
2002-05-15,-33.49140037553268,127.56164476562162,94.07024439008896,92.39864340536488,25.865932123655913,0.052378232526881716,68.27187826703953,0.5996940000000001,131.6544385993043,84.64356013269237,41.83203170402592,229.55360352529337,389.80275037573347,347.925999204601,10.817518927116785,16.0,101.64798,5.933541,370.012,29.07707,304.97794,4.790493,10.0,5.0,0.59400004,1.0005442,41.518696,51.970417,,6.4932666,28.22241,4.5463204,0.28613642,1449.0164,0.85058826,270.55484,0.64416045,1165.3066,0.7915476,20.746786,1.026504,27.037449,1.016414,21.827808,131.15005,-12.4952
2002-06-15,-27.4770595242,97.791411789,70.3143522648,60.816664264753825,22.45889758322197,0.052863724065525704,63.56110086870369,0.0,115.16131900192224,57.56935472222222,50.65230652777778,224.19296888419507,361.8783109529297,329.41275227556764,10.0780686021981,16.0,101.64798,5.933541,370.476,29.07707,303.69016,6.744066,10.0,6.0,0.5413426,0.9879295,41.518696,51.970417,,6.4932666,28.22241,0.08715968,0.10166578,1448.7162,0.8503573,77.590195,0.61584556,990.4716,0.82871485,20.27701,1.0443571,23.796095,0.9682303,23.123978,131.15005,-12.4952
2002-07-15,-21.292740268322824,97.21760619555039,75.92486592722756,48.953319497609144,22.59778674771633,0.05419862154506255,56.62121725779462,1.399286,127.52705811558991,44.844632885055915,52.26610001252993,225.83790684806183,373.5041372825483,336.3085535750267,12.101376778314092,16.0,101.64798,5.933541,371.05,29.07707,306.43973,9.862154,10.0,7.0,0.46967757,0.9371043,41.518696,51.970417,,6.4932666,28.22241,0.0027394602,0.0038703422,1439.6987,0.8450798,4.6362195,0.2634543,824.77423,1.0584327,20.586594,1.0266684,23.42758,0.96924317,21.46369,131.15005,-12.4952
2002-08-15,-2.7200882421191777,89.5512541853348,86.83116594321564,49.0140757840595,23.857526945612637,0.059175548283243916,53.554892435678546,0.0,132.16260784072435,44.900289853557496,63.51508150898306,248.55542471965396,372.8182118890738,344.05959586834655,14.005808081152109,16.0,101.64798,5.933541,371.539,29.07707,310.43704,13.223162,10.0,8.0,0.43152267,0.97245985,41.518696,51.970417,,6.4932666,28.22241,0.19785845,0.05822843,1439.4445,0.84520715,0.28775758,0.064413555,270.8426,0.63805884,23.03268,1.0383116,24.063887,0.95349044,24.779104,131.15005,-12.4952
2002-09-15,28.220422557600003,75.9673879254,104.18781048299999,39.887599298989244,26.59940321339249,0.072406536046299,60.30262913773624,22.399795999999995,138.31017232939536,37.75779847222222,75.88889291666666,237.12533121918307,400.28236830085376,361.57392234105737,14.149385162349164,16.0,101.64798,5.933541,371.877,29.07707,312.1106,11.304071,10.0,9.0,0.4484715,1.0444819,41.518696,51.970417,,6.4932666,28.22241,38.41656,2.6620557,1469.0768,0.8630509,38.61716,2.2710946,116.20735,0.81267583,22.942339,0.97165394,27.65653,0.9906732,21.13459,131.15005,-12.4952
2002-10-15,26.75881619094291,73.84275812553818,100.6015743164811,45.70132053892529,28.417862808563587,0.05994837926620791,62.1536814677303,9.195308,166.96242506720432,41.86557649130342,90.31289075893818,272.3846820083195,410.38519384628535,363.7632268543049,15.04615503552795,16.0,101.64798,5.933541,372.011,29.07707,314.19058,10.978508,10.0,10.0,0.4592059,0.9915416,41.518696,51.970417,,6.4932666,28.22241,9.494155,0.13989805,1380.287,0.81005114,48.108574,0.5689253,52.744797,0.51630485,25.576178,1.0517333,30.06208,1.0159078,26.226389,131.15005,-12.4952
