time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2013-04-15,0.7815476266098909,86.81199096061108,87.59353858722096,59.212746464101045,8.611649708041316,0.18617807578955134,79.83464459419378,90.80000000000001,24.214720691108838,56.05107821154256,-12.774556561302624,66.38948427518511,338.84343851012034,519.1331013469852,2.261831611873773,55.0,100.16266,5.180737,392.14,428.2557,8.376343,-1.32689,10,4.0,0.8452537,1.1028368,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,99.28892,0.9443364,1378.4093,0.9233469,243.1614,0.91762316,470.90317,0.8096158,8.642481,0.9567579,9.703233,0.96210873,0.8583261,3.2026682,146.65452,-43.09502
2013-05-15,3.536500505888304,51.82680754049727,55.36330804638557,30.077043353179896,6.486141688851109,0.23485924529247992,86.93732785059203,61.00000000000001,2.9005412009545535,27.552655903286368,-12.709588307657746,38.73186416567368,336.62977074472496,522.0221348001835,1.2655629743413073,55.0,100.16266,5.180737,392.466,428.2557,6.0723877,-2.0650568,10,5.0,0.85444653,1.1167773,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,88.75468,0.7029615,1284.3466,0.8593938,285.7308,0.89775443,484.76605,0.813506,6.1376624,1.0961784,8.1374445,1.0136391,0.8583261,2.4899666,146.65452,-43.09502
2013-06-15,27.69069054921034,33.18392978056126,60.8746203297716,27.046294263161606,5.784783671339127,0.24895029540942168,87.07931442095904,58.400000000000006,-0.7988677902043678,25.602155711455755,-24.15483812075482,26.92531617724097,332.2399069949049,523.0421725237865,1.192167811054009,55.0,100.16266,5.180737,392.806,428.2557,4.384918,-2.1548023,10,6.0,0.8232815,1.0947484,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,98.53122,0.76594824,1265.1173,0.847593,286.57483,0.7959544,489.16763,0.79669464,4.292224,0.9717334,6.5397205,1.0908556,0.8583261,1.3890108,146.65452,-43.09502
2013-07-15,34.83238153259114,51.694775612135615,86.52715714472674,41.35568486622372,6.159132220035746,0.2791904613766815,84.03288240895048,141.0,0.6595433089583164,37.88467308384353,-24.22450404418739,29.222483278946235,331.3608822378305,520.3421516503155,1.5121922907446634,55.0,100.16266,5.180737,393.371,428.2557,3.7065125,-3.093698,10,7.0,0.8058721,1.0838671,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,206.61008,1.4000266,1366.6196,0.91744804,393.89597,0.97868764,637.0574,0.9544443,4.9949784,0.9757664,6.8002105,1.2219968,0.8583261,1.7523484,146.65452,-43.09502
2013-08-15,-8.632326118281377,79.59000644405367,70.95768032577229,57.575391397766296,5.107861561208269,0.29592783398295375,83.90392384119238,227.40000000000003,17.6411956740134,52.7430482129478,-25.333972721092596,49.2942475295248,329.11362625514795,516.4044300463213,1.4164758336172412,55.0,100.16266,5.180737,393.862,428.2557,3.5266113,-2.4949064,10,8.0,0.81463826,1.0869571,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,292.7649,1.6226501,1491.5262,1.0016543,597.9062,1.3093622,883.63696,1.140306,7.0474916,0.9249965,6.0215178,0.9577464,0.8583261,1.8768097,146.65452,-43.09502
2013-09-15,-8.152417928596352,145.08837398611212,136.93595605751577,68.15193410165296,7.742588816929039,0.28157812736261206,76.61651110604332,146.4,35.096373990276014,64.51295737338567,-7.426508351132626,81.56742912658348,331.07703370205434,516.4294595410496,2.4710113145372423,55.0,100.16266,5.180737,394.065,428.2557,8.672577,-0.055384636,10,9.0,0.8223325,1.0910016,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,163.78416,0.96444607,1421.15,0.9532857,663.1591,1.3321215,949.734,1.1070955,10.787706,0.9866448,8.727962,1.1699234,0.8583261,3.6624923,146.65452,-43.09502
2013-10-15,-56.72707005557824,203.98384848371768,147.25677842813946,92.31339813885413,7.764856438118129,0.2904777932011736,72.44777878201147,226.8,67.0726210470145,84.56546956148912,5.044548760597071,114.69796134746574,332.67951578309453,517.5639164948723,2.9159990946913825,55.0,100.16266,5.180737,394.126,428.2557,8.784973,0.110266685,10,10.0,0.80737346,1.080502,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,249.57365,1.6088468,1570.9219,1.0546759,706.12274,1.3972342,1100.0187,1.2116805,14.081045,0.9361567,8.674706,0.9543577,0.8583261,3.562508,146.65452,-43.09502
2013-11-15,-31.082063085881366,216.13715336145415,185.05509027557278,70.74839349716319,9.326599495138888,0.25502038578509206,73.847314630919,52.60000000000001,98.42138860261123,66.97077865919738,32.29885922235192,153.06366292634237,339.9852120016478,519.5213974469942,3.07998954670705,55.0,100.16266,5.180737,394.086,428.2557,12.923035,2.5348568,10,11.0,0.8114914,1.0891845,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,101.743866,0.91032857,1597.7739,1.0728711,515.1017,1.1794947,1113.0079,1.2458768,18.390951,0.9613684,10.388178,0.9355549,0.8583261,4.2483315,146.65452,-43.09502
2013-12-15,-46.17882352869856,301.8936734684863,255.7148499397878,99.76962012476085,11.579194951849628,0.21029379095389364,70.87335531981171,105.1382797925935,123.99246467186262,91.3958855802394,40.11612043674326,185.28423611419163,343.7343905211494,538.8079141294555,3.9935119292541756,55.0,100.16266,5.180737,393.929,428.2557,15.478394,2.883442,10,12.0,0.8047569,1.0861812,17.052534,75.24752,21.208868,0.7458128,0.036141634,0.10553229,122.64498,1.111533,1626.2893,1.0921663,473.9625,1.2564267,1137.1217,1.2994899,19.88333,0.9928094,12.594952,1.0257226,0.8583261,5.961751,146.65452,-43.09502
2014-01-15,-13.268717562799324,303.5326065890205,290.26388902622114,101.99492315535883,13.348712733198926,0.21701085248936158,77.84691484286293,66.20000000000002,119.82591297453966,93.43441735886667,48.593875835697865,197.93634087128362,343.212030112825,525.2768221177946,3.416968762352867,55.0,100.16266,5.5065584,393.791,428.2557,17.17929,2.4259825,10,1.0,0.8057178,1.0723863,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,86.80685,0.9224148,1654.3759,1.1055453,311.1957,0.98278356,1017.31836,1.2374274,23.072117,1.1169553,14.753308,1.0613031,0.86720425,9.047401,146.65452,-43.09502
2014-02-15,14.195029582217824,248.98456326198203,263.1795928441999,70.22667935925455,13.432596921130953,0.21030065240852855,83.57741749789152,49.6,88.0626150594405,71.2252730141646,27.893031788933573,153.53031601666694,349.0292866908427,522.5355301659629,2.5471643114017426,55.0,100.16266,5.5065584,393.825,428.2557,17.455414,2.473198,10,2.0,0.8134436,1.0583718,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,79.00048,1.0825552,1687.191,1.1273403,288.4523,1.0390013,803.55396,1.1251884,17.229727,0.97370934,14.982216,1.0696952,0.86720425,6.819465,146.65452,-43.09502
2014-03-15,43.65601592989596,203.64122116881612,247.29723709871206,56.35762988240256,12.243430315860213,0.1926137811075973,87.8105191353696,51.4,43.377580143127176,51.62749427996675,15.34558532338082,100.00316562697043,346.5717561626154,523.2705683092139,1.7471159538232188,55.0,100.16266,5.5065584,393.985,428.2557,13.605835,0.20735836,10,3.0,0.8270095,1.0713627,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,65.35859,0.7523456,1654.8625,1.1063789,231.16592,0.91025525,705.1284,1.11407,13.845328,1.0331488,13.398477,1.0875511,0.86720425,5.107862,146.65452,-43.09502
2014-04-15,44.33039431876111,126.53318877016501,170.86358308892613,39.1680683446851,8.717912846458333,0.20914945535682317,96.93777820530704,99.8,14.567222920273247,37.076686917638646,-1.5842872204648648,57.65645908018654,336.72097534699634,518.6524509221512,0.3459757088274261,55.0,100.16266,5.5065584,394.17,428.2557,9.745209,-0.42181492,10,4.0,0.8306618,1.0837982,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,115.183304,1.0955079,1670.757,1.1191801,259.54236,0.97944033,570.7381,0.9812603,8.947951,0.9905747,10.167024,1.0080951,0.86720425,3.0790353,146.65452,-43.09502
2014-05-15,61.97996376664561,84.9765225843086,146.9564863509542,36.448505249019746,7.603137324033525,0.23916862882496762,97.3354814358572,104.00000000000001,-0.6826463401672989,33.389356510974785,-15.373030258371337,32.55173569452357,335.9737434467948,520.2503776961695,0.27887850501788053,55.0,100.16266,5.5065584,394.363,428.2557,5.987335,-2.4172058,10,5.0,0.8335131,1.0894169,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,142.05748,1.1251343,1724.0598,1.1536187,322.59937,1.0135939,611.0517,1.0254312,5.4313254,0.97002757,8.404541,1.0469099,0.86720425,2.1132598,146.65452,-43.09502
2014-06-15,51.161817943399114,54.95150864096483,106.11332658436393,15.333914009124566,6.038822090961922,0.271012173120918,103.86496783512317,61.8,0.8545456976480348,14.515158724069458,-6.03980060339312,29.805949398342186,327.9735792568578,520.2194606218129,-0.36298512548643275,55.0,100.16266,5.5065584,394.76,428.2557,4.730011,-2.2437634,10,6.0,0.8227135,1.0939931,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,91.88335,0.71426994,1717.4119,1.1506176,349.12415,0.9696836,580.2901,0.9451034,4.467078,1.0113193,6.9737744,1.1632578,0.86720425,1.6047804,146.65452,-43.09502
2014-07-15,59.9012664786,61.6207535514,121.52202003,20.935123092598634,7.2181928225806455,0.30258649509408597,91.69177530740095,193.8,21.62422245671035,19.178023454301076,-11.162832728494626,47.54248582469489,330.58233077956993,517.9032900639766,0.8467874941213274,55.0,100.16266,5.5065584,395.296,428.2557,4.8571777,-1.7133694,10,7.0,0.81827706,1.1005512,13.826749,78.548996,21.208868,0.78692317,0.09588444,0.03691131,232.49257,1.575411,1743.2942,1.1703197,466.4334,1.1589167,725.97577,1.0876626,5.2441907,1.02445,6.570547,1.1807263,0.86720425,1.4823134,146.65452,-43.09502
