time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2017-11-15,-25.221076578998613,97.96494226266776,72.74386568366914,51.71556258141821,19.084580676388892,0.05452438406512591,53.02278553141299,5.242274723598291,198.43481577920724,48.9542069250647,107.48612269414777,331.1468818259231,325.8821046515697,395.9197388716109,10.510205659728355,13.0,11.995033,13.365535,403.847,342.74625,35.25229,14.717655,40,11.0,0.3425691,1.0156949,47.838524,36.740437,4.3292894,0.24365675,0.28466678,0.46489096,18.489136,0.8836181,591.1135,1.2908175,96.47976,1.0780407,324.46753,1.0250173,26.472347,1.0138702,20.534634,1.1083614,0.2504423,20.655365,116.938559,-32.477093
2017-12-15,-19.743559588249582,91.63659810665534,71.89303851840577,45.82837649744049,20.6577443125,0.05555628484789972,49.80524247532893,25.916694735927727,195.31984207734214,41.981968553658895,129.4269132547143,359.93093830732664,329.7476847464285,392.91513533527797,12.404483292825887,13.0,11.995033,13.365535,403.856,342.74625,41.33557,19.50615,40,12.0,0.29235202,1.0671529,47.838524,36.740437,4.3292894,0.24365675,0.28466678,0.46489096,21.015244,1.545245,575.34106,1.2555755,66.20465,1.149032,308.4319,1.2185187,28.480188,0.98835915,21.829422,1.0226723,0.2504423,22.970562,116.938559,-32.477093
2018-01-15,-7.922605327319891,82.3714236584249,74.448818331105,50.36950132179965,21.521482832661288,0.048181918548387104,54.21587523838279,62.800001,188.00564702619425,46.14195357047777,136.3154884764489,352.31663705882397,341.7792507392473,391.11415726266426,11.944164386964497,13.0,11.995033,15.068332,403.9,342.74625,40.7218,17.596548,40,1.0,0.29297256,1.1573097,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,58.118347,2.7623408,604.99115,1.3066261,97.62273,1.7788583,264.88257,1.4049896,28.033447,0.9776696,23.125254,0.98876923,0.2518036,21.763136,116.938559,-32.477093
2018-02-15,-10.345366843709296,76.50070144949545,66.15533460578615,35.0314071730224,21.328317425595237,0.03985059516369047,57.18160379569814,13.6,160.011931544083,35.529538954913924,117.12967371936442,310.05414431228274,345.2283962797619,386.8024308073142,11.036290725253192,13.0,11.995033,15.068332,403.956,342.74625,38.23825,15.392012,40,2.0,0.32326806,1.2040808,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,17.452057,1.1986537,482.78476,1.0441346,96.58565,1.9748616,193.0654,1.4092264,25.31016,0.9909845,22.84624,0.98024553,0.2518036,19.278057,116.938559,-32.477093
2018-03-15,-1.7858574818820232,70.46559194730943,68.67973446542742,29.105456926734618,20.459079259408604,0.03700195932795699,58.15505753291119,4.0,113.7461028952241,26.662615410482402,89.04479769080909,251.48556555114786,355.29557862903226,388.43267621108885,10.21254169476513,13.0,11.995033,15.068332,404.032,342.74625,34.170105,12.402037,40,3.0,0.34192705,1.182215,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,6.618767,0.4159575,461.551,0.99833465,82.18917,1.595554,148.39383,1.3638523,20.956635,0.9953337,21.768068,1.0284963,0.2518036,18.069881,116.938559,-32.477093
2018-04-15,0.05875142516438636,62.17695011206239,62.23570153722678,22.183976040796708,17.063100549305556,0.03526268669270833,66.09006838673525,9.600000000000001,85.65070103255958,20.99946127071713,55.444339390300584,192.14045127279994,339.62187060500736,388.3410204884918,6.6658668232986305,13.0,11.995033,15.068332,404.286,342.74625,26.58487,8.838512,40,4.0,0.35555974,1.0126017,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,11.647557,0.44099677,468.3922,1.0142018,35.71838,0.6279192,133.34111,1.1930684,16.294146,1.0492483,17.746357,1.0137551,0.2518036,11.625702,116.938559,-32.477093
2018-05-15,6.299076689234775,55.51104865855149,61.81012534778627,19.706477229218958,14.7488871202957,0.04141758677923387,58.28148030361546,36.2,50.181803824133524,18.05249870430542,33.76940344064668,149.71007831064705,330.77165110786416,386.1893528401906,7.055982308097949,13.0,11.995033,15.068332,404.532,342.74625,22.174103,8.069598,40,5.0,0.36585122,0.83479226,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,37.523438,0.7481136,476.84296,1.0372047,55.78976,0.6032537,152.37541,1.0777036,12.910282,1.1204774,14.104505,1.0261612,0.2518036,10.086484,116.938559,-32.477093
2018-06-15,19.67915089045422,51.42289226757507,71.10204315802929,25.682031814574735,11.422521165277779,0.05435291656597223,77.25091379243759,101.19999899999999,15.890005612530516,24.31073814052491,14.419303164978787,103.87115217840278,337.9681009027778,393.5148775033795,3.0865240337655693,13.0,11.995033,15.068332,404.807,342.74625,14.307404,3.4236736,40,6.0,0.49629197,0.98701185,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,87.428955,1.1350284,527.221,1.1478539,136.59995,0.88933843,218.78912,1.0666988,9.599172,1.0101318,10.88373,0.97904825,0.2518036,4.132339,116.938559,-32.477093
2018-07-15,15.163047535973313,59.203944357618646,74.36699189359197,32.62146922557908,11.148900458333335,0.061761957970430104,77.40892405035157,79.80000100000001,22.24328935713823,29.883526318653235,13.49578407454467,112.3822928857789,337.83175887096775,394.2297749548311,3.0093234978697034,13.0,11.995033,15.068332,405.308,342.74625,13.433716,2.632862,40,7.0,0.6199718,1.0876116,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,86.82019,1.0287145,512.37354,1.1211778,211.77258,1.0008999,247.49097,0.9218712,10.126861,1.0019048,10.800854,1.0923578,0.2518036,3.808439,116.938559,-32.477093
2018-08-15,-1.677112394589118,72.812576641896,71.13546424730687,40.68098104165642,9.93873988844086,0.0699719025655242,76.76106510549833,90.999999,48.194439478602604,37.266597626869846,27.60790223738259,151.45600591913237,328.24787231182796,393.77786023788195,2.8529700993247724,13.0,11.995033,15.068332,405.782,342.74625,14.05896,4.3091536,40,8.0,0.6980124,1.1117618,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,89.10552,1.3577332,512.20984,1.1219501,263.35468,1.1598824,319.14444,0.9987799,12.847757,0.99099225,9.749806,0.9364379,0.2518036,4.022081,116.938559,-32.477093
2018-09-15,-9.438554448557548,69.36557292111036,59.9270184725528,37.96875632631347,11.877578978472222,0.04150674050347222,70.3626090836466,10.4,86.21058228881944,35.94141223851957,58.1538600015893,209.04401731490282,331.34748055555553,393.2786427593854,4.145461336227692,13.0,11.995033,15.068332,405.993,342.74625,18.105042,6.475258,40,9.0,0.68469894,1.0677181,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,10.4115305,0.2289373,471.33102,1.0293212,186.33725,0.95311904,322.9372,0.925057,18.759085,1.0700198,11.629784,0.9757184,0.2518036,6.98277,116.938559,-32.477093
2018-10-15,-9.767503840326441,83.27265311039159,73.50514927006515,48.58982254220436,14.670676407592236,0.041603095218413974,70.68572561351625,35.599999999999994,120.27685563733813,44.51164448534671,72.40104627273853,241.56627745845225,360.2118559139785,394.91493688082033,4.9326747935358295,13.0,11.995033,15.068332,406.039,342.74625,24.2641,8.195215,40,10.0,0.60874504,1.1205305,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,44.40762,1.9229517,489.0384,1.0688323,143.92467,1.0724697,355.69727,1.0286765,22.053692,0.9605234,16.068884,1.087777,0.2518036,10.13069,116.938559,-32.477093
2018-11-15,-37.40959337173207,105.5237006392947,68.11410726756263,41.95837606808435,16.307364548611112,0.038394330657986114,57.71749188298062,4.6,177.29096875813548,39.71800598790577,127.18033604357669,334.22093391400693,350.1242931944444,395.2330480893128,7.91553762396087,13.0,11.995033,15.068332,405.967,342.74625,33.145752,15.350573,40,11.0,0.34445918,1.0212988,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,4.782819,0.22857669,475.33206,1.037985,59.601967,0.6659775,322.95663,1.0202442,26.804783,1.0266023,17.79518,0.9604987,0.2518036,16.198769,116.938559,-32.477093
2018-12-15,-25.66054412518662,98.35261015558534,72.69206603039872,37.71620470106095,21.000125040994625,0.037149443304771504,48.8807816258379,0.6000000000000001,190.49470978597913,34.55065705440679,138.59143253062496,361.19268018680174,372.1395047043011,388.681256034901,12.907568989900172,13.0,11.995033,15.068332,405.893,342.74625,38.504547,16.373198,40,12.0,0.28904647,1.0550869,52.538242,31.747221,4.3292894,0.20485325,0.2252363,0.5229601,3.0267155,0.22255355,457.3435,0.9980677,52.21715,0.90626836,238.55441,0.9424545,29.935421,1.0388607,22.13135,1.0368172,0.2518036,24.382143,116.938559,-32.477093
2019-01-15,-15.18860150459874,87.31087241488882,72.12227091029008,31.441221666760132,21.74307464784946,0.03620031693716398,48.65372008458079,1.6,191.4018755118106,28.802337769400637,150.78269796144463,370.27860793467744,372.25977486559134,383.91145482743457,13.581939941262126,13.0,11.995033,14.667162,405.872,342.74625,40.715088,17.701748,40,1.0,0.2871319,1.1342376,51.705257,31.33623,4.3292894,0.22925481,0.27260274,0.5034312,2.1095846,0.10026768,401.33475,0.86678034,9.919119,0.18074384,153.8438,0.816018,29.701952,1.0358589,23.01334,0.9839841,0.22396608,25.727394,116.938559,-32.477093
2019-02-15,-1.7087502754111676,60.63990157421936,58.931151298808196,18.185934535401834,22.125681138392856,0.035601225946800596,50.43769158430942,0.0,166.0713396747768,18.444530826745183,137.0165312560838,331.10245622473957,379.20953906249997,386.7547215121771,13.426521797885336,13.0,11.995033,14.667162,405.812,342.74625,36.229187,12.539299,40,2.0,0.28825742,1.0736762,51.705257,31.33623,4.3292894,0.22925481,0.27260274,0.5034312,0.9302967,0.063895255,384.813,0.83224785,6.066597,0.12404213,65.668564,0.47932917,27.161343,1.063465,23.689888,1.0164433,0.22396608,24.851274,116.938559,-32.477093
