time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2013-02-15,17.215151547021797,15.625073856462716,32.840225403484524,17.98769217474746,24.11366877232143,0.11638344989583334,44.4119034764963,61.6,124.34488667153272,18.243469543634415,69.8797713129892,289.4720458390179,361.28883921130955,356.22239346976625,17.029019400198163,0.4,334.18564,16.402983,391.481,154.68231,39.81894,15.910524,40,2.0,0.25745374,0.8675295,44.495766,36.82494,0.93007755,11.747224,74.456635,2.1274173,530.7252,0.88562584,99.704384,0.8624983,156.38023,0.5691017,24.321829,1.0069363,23.908415,1.0845013,21.135136,145.576,-36.656
2013-03-15,33.88910783020471,28.34944977152079,62.2385576017255,32.2748436780448,20.792633110887095,0.2462029549731183,52.479432772907884,34.0,99.88713658584676,29.565993297659325,51.363950849866626,236.10605938277553,342.7233747311828,381.5885433006634,11.843613183923328,0.4,334.18564,16.402983,391.8,154.68231,33.217224,12.7086315,40,3.0,0.37357,1.1509268,44.495766,36.82494,0.93007755,11.747224,26.405458,0.6750422,405.019,0.67195,102.6124,0.90781665,164.69878,0.6371949,19.346731,0.9952103,20.508593,1.0608205,15.380641,145.576,-36.656
2013-04-15,-1.4246722327090005,48.73767156363896,47.31299933092996,23.94397857608219,15.72772249513889,0.15521566548853744,61.55038787368733,6.0,63.939085362853476,22.66548836198891,31.710191792355925,164.9631482632354,326.4643802777778,374.3476252601289,6.93215886586005,0.4,334.18564,16.402983,392.14,154.68231,23.847046,8.053417,40,4.0,0.4750785,1.2180241,44.495766,36.82494,0.93007755,11.747224,6.22595,0.16168553,385.9891,0.639684,107.08804,0.9508636,142.78413,0.5807367,14.510582,1.0355692,15.793629,1.0426053,9.924516,145.576,-36.656
2013-05-15,-49.585231014123636,112.89212714082507,63.30689612670143,24.915683241814712,11.214955101142472,0.23758513458690533,72.84311119520717,40.8,37.88645169360282,22.824492384302783,10.319806044015275,111.1924045108058,314.17674616935483,358.63855566956664,3.633610054825237,0.4,334.18564,16.402983,392.466,154.68231,15.686584,4.5163136,40,5.0,0.48860905,0.98766714,44.495766,36.82494,0.93007755,11.747224,36.540188,0.7299385,396.38104,0.65860844,69.1716,0.5417468,168.87598,0.69415706,9.418586,1.0185466,11.170271,0.96661186,5.469332,145.576,-36.656
2013-06-15,-57.812258608200004,135.29842993260002,77.4861713244,22.900438669709814,9.172265762768982,0.3456007308904057,78.82043921652222,60.2,27.52558764724375,21.677668333333333,3.931468402777778,99.05036944155626,303.0915280555556,362.2349682650952,2.468239185349887,0.4,334.18564,16.402983,392.806,154.68231,11.900787,2.7448616,40,6.0,0.64680356,1.1075983,44.495766,36.82494,0.93007755,11.747224,57.885433,0.9462646,404.31592,0.6751619,100.651566,0.6721829,203.26398,0.773542,7.7363634,1.0820858,9.155926,1.0267847,3.5822008,145.576,-36.656
2013-07-15,-76.68328528980001,146.4767540064,69.79346871659999,24.575985352135636,9.535027460305765,0.25899171126706355,83.33958259318392,67.2,30.306870344337856,22.513305577956988,5.0649889784946245,83.2601033486817,323.9714230762636,368.2103696125712,1.9900903793471378,0.4,334.18564,16.402983,393.371,154.68231,11.299469,1.8801565,40,7.0,0.70373,1.0820731,44.495766,36.82494,0.93007755,11.747224,85.658966,1.2713102,426.78745,0.7151136,180.0846,1.0082542,287.17264,0.9860608,7.5311246,0.98641497,9.4193125,1.1654178,2.8971858,145.576,-36.656
2013-08-15,-103.5510343566013,179.03265469796398,75.48162034136267,31.08072803357607,9.975666950461711,0.2813317826841385,80.16819927266576,80.4,46.23171379553289,28.47210062096111,8.759931418708105,111.91746854525013,320.8873905609441,375.8750075053108,2.4407842536547375,0.4,334.18564,16.402983,393.862,154.68231,12.448822,2.474597,40,8.0,0.75691843,1.1066986,44.495766,36.82494,0.93007755,11.747224,92.15949,1.4542661,461.2557,0.7760156,235.70389,1.2281178,304.8755,0.9539122,9.692028,0.91503334,9.974225,1.0676844,3.612001,145.576,-36.656
2013-09-15,-129.49378633663628,225.71622042740478,96.2224340907685,68.22191202613752,13.274597506509892,0.2666775597700437,72.17675217767221,42.2,83.19608095842692,64.57919882227276,0.5437147131912435,175.96205170733464,325.84743091110494,395.5537416138456,4.270564027332192,0.4,334.18564,16.402983,394.065,154.68231,17.886475,4.656971,40,9.0,0.774835,1.1149466,44.495766,36.82494,0.93007755,11.747224,48.440365,0.88155705,491.60916,0.8277474,226.25882,1.2184173,326.9104,0.9745798,15.1557665,0.99455124,13.229504,1.168422,6.4544816,145.576,-36.656
2013-10-15,-107.14106611162114,199.08219041087546,91.94112429925431,76.26625711190391,13.953115765787718,0.1989455426610143,61.88300392916803,17.2,120.24938509043582,69.86517639253563,27.4511373738469,249.63132167748543,310.89844550317537,389.64133681042085,6.118560890922782,0.4,334.18564,16.402983,394.126,154.68231,19.936829,6.171048,40,10.0,0.73566866,1.1616302,44.495766,36.82494,0.93007755,11.747224,23.284517,0.45573875,486.75308,0.8196017,163.88437,0.9673699,343.96896,0.9883524,20.52216,1.0054369,13.76578,0.9785613,9.214272,145.576,-36.656
2013-11-15,41.52815947710662,28.64904578740809,70.17720526451471,31.863957802785727,17.07387038888889,0.12885050472222223,53.96489384676782,22.000000000000004,136.57804176880833,30.162579808995005,80.7831048270891,284.95329903969724,324.3219390277778,383.9109785236544,9.055664600983318,0.4,334.18564,16.402983,394.086,154.68231,32.850555,16.15655,40,11.0,0.43723425,0.9247022,44.495766,36.82494,0.93007755,11.747224,31.332378,0.6070507,507.63712,0.85625196,103.05727,0.6536904,338.76114,0.969059,25.161863,1.0290153,16.694006,0.9469439,13.1626835,145.576,-36.656
2013-12-15,69.10181186374518,7.520813805184389,76.62262566892957,28.98063283879799,21.468266028892323,0.15646325018515486,45.754143417493545,49.4,150.13534600333105,26.5482678962346,95.84521157983103,314.05743623343363,341.2306568935516,385.28483714631466,14.104648396065963,0.4,334.18564,16.402983,393.929,154.68231,38.3815,17.709337,40,12.0,0.3384339,1.0596671,44.495766,36.82494,0.93007755,11.747224,55.69848,1.3273084,539.83813,0.91013795,110.31538,0.7625343,336.5742,1.0187848,27.319914,1.0140948,20.672163,1.0413741,19.287855,145.576,-36.656
2014-01-15,44.208548238126546,7.13904178785406,51.34759002598061,19.028623695832135,24.607413660509092,0.09267771630504903,39.202030283996,14.6,162.5210940124143,17.431537895793657,105.74633178065066,335.70623227781243,355.4274373843414,384.0443990102478,19.197644261003173,0.4,334.18564,16.780645,393.791,154.68231,40.184784,16.256227,40,1.0,0.28712788,1.0107138,47.30829,32.91373,0.93007755,4.107516,18.832197,0.48391032,556.92004,0.93184245,105.86305,0.79449683,269.7474,0.88274336,27.918552,1.047038,23.928556,1.0827742,24.732054,145.576,-36.656
2014-02-15,42.33138044780338,0.0,40.027538007232025,20.25515324765299,23.76387822465168,0.09426713302148192,42.45931434039812,30.0,128.74620863723607,20.543172953224776,78.01317122479719,291.56595895263644,350.59138549899876,385.8982407623353,17.25200692280815,0.4,334.18564,16.780645,393.825,154.68231,39.177887,15.787182,40,2.0,0.27994913,0.9433311,47.30829,32.91373,0.93007755,4.107516,23.842026,0.6812279,506.30542,0.8448763,98.3727,0.8509785,201.42996,0.7330475,25.044695,1.0368633,23.390705,1.0610176,22.736021,145.576,-36.656
2014-03-15,50.44557639939848,0.0,47.76628678987358,31.46322073398281,20.607957020401333,0.09911981306644985,55.72067514789568,51.400000000000006,99.49264905054376,28.822490439404202,53.253178104486274,220.31525039787792,349.3516549324569,398.0741082580685,10.908406862701982,0.4,334.18564,16.780645,393.985,154.68231,33.376038,13.015865,40,3.0,0.3140255,0.9674769,47.30829,32.91373,0.93007755,4.107516,47.27237,1.2084942,527.17236,0.8746095,89.946594,0.7957617,200.26196,0.77478355,18.702957,0.96209407,20.360172,1.0531433,13.502011,145.576,-36.656
2014-04-15,-12.887828068672434,80.39988210641704,67.5120540377446,51.99197791768101,15.61751036354862,0.2003855668632316,70.82285442815098,88.39999999999999,63.34837007213939,49.21586304738508,11.751587627918182,147.09103206753485,334.30341675404384,402.21899652063263,5.222812848590581,0.4,334.18564,16.780645,394.17,154.68231,21.530792,5.938463,40,4.0,0.625081,1.6026062,47.30829,32.91373,0.93007755,4.107516,101.43276,2.6341698,622.37915,1.0314436,172.54715,1.5320926,278.41022,1.1323599,13.135761,0.93745303,15.592329,1.0293167,7.253035,145.576,-36.656
2014-05-15,-71.59935020259093,166.08605238189926,94.48670217930835,43.2416164585622,13.013950902820882,0.2623274548868423,79.01240512831706,91.60000000000001,42.44227549614413,39.61231710824679,-3.2612314388384918,107.05519837515764,334.6099885405109,382.33941542227336,3.1662323100026066,0.4,334.18564,16.780645,394.363,154.68231,15.489868,2.6780167,40,5.0,0.75457376,1.5252843,47.30829,32.91373,0.93007755,4.107516,71.768135,1.4336632,657.6071,1.0926496,220.47327,1.7267301,318.84598,1.3106021,8.6847725,0.93919045,12.8118515,1.108665,4.2374125,145.576,-36.656
2014-06-15,-44.84663346696605,153.34745507922048,108.50082161225446,32.11555153167139,10.11138738000427,0.4666869962764377,87.49526587238392,72.0,22.69092896317892,30.40073967519635,-5.8251367042501165,81.5021773168129,322.8710362250615,381.60392880829573,1.553215110282233,0.4,334.18564,16.780645,394.76,154.68231,12.412262,2.370325,40,6.0,0.81050026,1.3879156,47.30829,32.91373,0.93007755,4.107516,91.26084,1.491859,690.98254,1.1538628,264.46173,1.7661589,354.40833,1.3487374,6.505809,0.9099681,10.041937,1.1261457,2.322563,145.576,-36.656
2014-07-15,-63.96864034195252,175.5373723101218,111.56873196816926,31.495597496000745,8.237173021410872,0.5084924167931963,83.74456116326864,41.8,28.05052699036127,28.852149796963648,-3.1931429207265376,86.26503527793611,317.31434944464195,386.16738088475773,1.777121821330426,0.4,334.18564,16.780645,395.296,154.68231,9.7682495,1.3746939,40,7.0,0.7861403,1.2087892,47.30829,32.91373,0.93007755,4.107516,53.633175,0.7959984,658.9567,1.1041301,216.66216,1.2130439,389.2093,1.3364227,7.417426,0.9715229,8.393556,1.0385046,2.4762468,145.576,-36.656
2014-08-15,-91.23885284609935,186.3036776952659,95.06482484916657,49.211749322576296,8.844443106195056,0.32725776162620607,75.75637166208308,1.0,57.62903762836876,45.08137251264681,9.717493480594834,152.7921615267349,296.8988430689099,382.7073557102612,2.762865314765896,0.4,334.18564,16.780645,395.766,154.68231,14.3003235,5.1160975,40,8.0,0.77312475,1.1303941,47.30829,32.91373,0.93007755,4.107516,5.5357137,0.08735292,572.33295,0.96289164,150.42973,0.78380305,370.90298,1.1605028,11.967112,1.1298261,9.184226,0.9831194,4.707307,145.576,-36.656
2014-09-15,-138.64601603678278,215.94085163133127,77.29483559454852,77.64296555437201,11.604654759027778,0.1827262327777778,71.28031026731044,45.2,91.32892206947066,73.49721461582067,11.937055746320418,205.40855280672872,304.5054303602908,383.2754291636277,3.9444332919583442,0.4,334.18564,16.780645,396.004,154.68231,17.89804,5.902747,40,9.0,0.77587944,1.1164495,47.30829,32.91373,0.93007755,4.107516,45.802486,0.8335508,569.69507,0.95922464,104.971375,0.5652771,369.4331,1.1013478,16.33698,1.0720649,11.995294,1.0594172,6.8378644,145.576,-36.656
2014-10-15,-45.36556135720461,113.7717662632046,68.406204906,64.57979428378279,16.187273898521507,0.11174427813844087,57.117067461576525,10.8,128.73068157729838,59.159566627348205,56.171378911476964,268.47565876527364,316.7389071871097,381.9403169468621,7.965692776042642,0.4,334.18564,16.780645,396.004,154.68231,26.148163,10.40306,40,10.0,0.6501699,1.0266265,47.30829,32.91373,0.93007755,4.107516,14.53747,0.2845362,560.948,0.94453216,65.87567,0.38884822,282.53784,0.8118377,22.256788,1.0904211,15.745103,1.1192644,11.844529,145.576,-36.656
2014-11-15,40.15412056229109,19.490328399908908,59.6444489622,29.200392902961564,19.287300275000003,0.0941631636875,46.415151360670464,36.4,154.0146960181986,27.641236121414543,84.93590440861792,314.93757893010513,327.6410936423218,384.0368853024587,12.143905833607516,0.4,334.18564,16.780645,395.964,154.68231,33.611176,14.819281,40,11.0,0.36780128,0.77785915,47.30829,32.91373,0.93007755,4.107516,49.276928,0.9547183,578.8926,0.97644144,109.61688,0.6952979,260.04663,0.7438885,25.77759,1.054196,18.791895,1.0659437,16.326994,145.576,-36.656
